Numéro Région,libellé,nom court,secteur d'établissement,Région,Departement2,Page Wikipédia en français
24,Casa de Velázquez de Madrid,,public,Étranger,28,https://fr.wikipedia.org/wiki/Casa_de_Vel%C3%A1zquez
11,École des hautes études commerciales de Paris,HEC Paris,privé,Île-de-France,78,https://fr.wikipedia.org/wiki/HEC_Paris
11,École nationale supérieure de création industrielle - Les Ateliers,Ensci-Les Ateliers,public,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_cr%C3%A9ation_industrielle
32,École supérieure de chimie organique et minérale,,privé,Hauts-de-France,60,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_de_chimie_organique_et_min%C3%A9rale
44,École supérieure d'ingénieurs des travaux de la construction de Metz,ESITC de Metz,privé,Grand Est,57,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27ing%C3%A9nieurs_des_travaux_de_la_construction_de_Metz
28,École supérieure d'ingénieurs en génie électrique,ESIGELEC,privé,Normandie,76,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27ing%C3%A9nieurs_en_g%C3%A9nie_%C3%A9lectrique
11,École supérieure d'ingénieurs Léonard-de-Vinci,ESILV,privé,Île-de-France,92,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27ing%C3%A9nieurs_L%C3%A9onard-de-Vinci
11,ESIEE-IT,,privé,Île-de-France,95,
52,Le Mans Université,,public,Pays de la Loire,72,https://fr.wikipedia.org/wiki/Universit%C3%A9_du_Mans
0,Université de Corse Pasquale Paoli,Université Corse,public,Corse,20,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Corse-Pascal-Paoli
11,Université Paris 1 - Panthéon Sorbonne,Paris 1,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Universit%C3%A9_Paris_1_Panth%C3%A9on-Sorbonne
44,Institut national du service public,,public,Grand Est,67,https://fr.wikipedia.org/wiki/Institut_national_du_service_public
75,École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine,Bordeaux Sciences Agro,public,Nouvelle-Aquitaine,33,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_des_sciences_agronomiques_de_Bordeaux_Aquitaine
28,École nationale supérieure d'ingénieurs de Caen,ENSI Caen,public,Normandie,14,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27ing%C3%A9nieurs_de_Caen
75,École supérieure des technologies industrielles avancées,ESTIA,privé,Nouvelle-Aquitaine,64,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_des_technologies_industrielles_avanc%C3%A9es
52,École supérieure du bois,ESB Nantes,privé,Pays de la Loire,44,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_du_bois
32,Institut supérieur d'agriculture de Lille,ISA Lille,privé,Hauts-de-France,59,https://fr.wikipedia.org/wiki/ISA_Lille_-_Junia
53,Rennes School of Business,Rennes SB,privé,Bretagne,35,https://fr.wikipedia.org/wiki/Rennes_School_of_Business
75,Université Bordeaux Montaigne,,public,Nouvelle-Aquitaine,33,https://fr.wikipedia.org/wiki/Universit%C3%A9_Bordeaux-Montaigne
75,Université de Bordeaux,UBx,public,Nouvelle-Aquitaine,33,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Bordeaux
11,Université Gustave Eiffel,,public,Île-de-France,77,https://fr.wikipedia.org/wiki/Universit%C3%A9_Gustave-Eiffel
32,Junia,,privé,Hauts-de-France,59,
11,CESI,,privé,Île-de-France,92,https://fr.wikipedia.org/wiki/CESI_(enseignement)
11,École nationale supérieure d’architecture de Versailles,ENSA-V,public,Île-de-France,78,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Versailles
11,École nationale supérieure de paysage,ENSP,public,Île-de-France,78,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_paysage_de_Versailles
11,École nationale supérieure du pétrole et des moteurs,IFP school,public,Île-de-France,92,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_du_p%C3%A9trole_et_des_moteurs
28,École supérieure d'arts et médias de Caen - Cherbourg,ÉSAM Caen/Cherbourg,public,Normandie,14,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27arts_et_m%C3%A9dias_de_Caen-Cherbourg
84,Université Jean Moulin - Lyon 3,Lyon III,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/Universit%C3%A9_Jean-Moulin-Lyon-III
76,"Centre de ressources, d'expertise et de performance sportives de Toulouse",CREPS Toulouse,public,Occitanie,31,
32,École des hautes études commerciales du nord,Edhec,privé,Hauts-de-France,59,https://fr.wikipedia.org/wiki/EDHEC_Business_School
75,École d'ingénieurs des sciences aérospatiales,ELISA,privé,Nouvelle-Aquitaine,33,https://fr.wikipedia.org/wiki/%C3%89cole_d%27ing%C3%A9nieurs_des_sciences_a%C3%A9rospatiales
76,École nationale de l'aviation civile,ENAC,public,Occitanie,31,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_de_l%27aviation_civile
44,École nationale supérieure d'architecture de Strasbourg,ENSAS,public,Grand Est,67,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Strasbourg
52,École supérieure angevine en informatique et productique,ESAIP,privé,Pays de la Loire,49,https://fr.wikipedia.org/wiki/Esaip_%C3%A9cole_d%27ing%C3%A9nieurs
44,Haute école des arts du Rhin,HEAR,public,Grand Est,67,https://fr.wikipedia.org/wiki/Haute_%C3%89cole_des_arts_du_Rhin
32,Institut catholique de Lille,,privé,Hauts-de-France,59,https://fr.wikipedia.org/wiki/Universit%C3%A9_catholique_de_Lille
84,Institut national des sciences appliquées de Lyon,INSA de Lyon,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/Institut_national_des_sciences_appliqu%C3%A9es_de_Lyon
11,Institut protestant de théologie,IPT,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/Facult%C3%A9_de_th%C3%A9ologie_protestante_de_Paris
44,Université de Haute-Alsace,,public,Grand Est,68,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Haute-Alsace
0,Université de La Réunion,,public,La Réunion,97,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_La_R%C3%A9union
28,Université de Rouen Normandie,,public,Normandie,76,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Rouen-Normandie
76,Université Toulouse Capitole,UT Capitole,public,Occitanie,31,
76,Université de technologie Tarbes Occitanie Pyrénées,,public,Occitanie,65,
11,École spéciale de mécanique et d'électricité,ESME Sudria,privé,Île-de-France,94,https://fr.wikipedia.org/wiki/%C3%89cole_sp%C3%A9ciale_de_m%C3%A9canique_et_d%27%C3%A9lectricit%C3%A9
52,Institut catholique de Vendée,ICES,privé,Pays de la Loire,85,https://fr.wikipedia.org/wiki/Institut_catholique_de_Vend%C3%A9e
76,Institut national des sciences appliquées de Toulouse,INSA de Toulouse,public,Occitanie,31,https://fr.wikipedia.org/wiki/Institut_national_des_sciences_appliqu%C3%A9es_de_Toulouse
75,La Rochelle Université,Université La Rochelle,public,Nouvelle-Aquitaine,17,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_La_Rochelle
44,Université de Lorraine,,public,Grand Est,54,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Lorraine
11,Université Sorbonne Paris Nord,,public,Île-de-France,93,https://fr.wikipedia.org/wiki/Universit%C3%A9_Sorbonne-Paris-Nord
76,Université Toulouse - Jean Jaurès,,public,Occitanie,31,https://fr.wikipedia.org/wiki/Universit%C3%A9_Toulouse-Jean-Jaur%C3%A8s
32,Université de Lille,,public,Hauts-de-France,59,
84,Centrale Lyon,EC Lyon,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/%C3%89cole_centrale_de_Lyon
11,École centrale d'électronique,ECE,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_centrale_d%27%C3%A9lectronique
11,École supérieure des sciences économiques et commerciales,,privé,Île-de-France,95,https://fr.wikipedia.org/wiki/ESSEC_Business_School
11,Sciences Po,IEP de Paris,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_d%27%C3%A9tudes_politiques_de_Paris
28,Neoma Business School,Neoma BS,privé,Normandie,76,https://fr.wikipedia.org/wiki/Neoma_Business_School
27,Université Bourgogne Europe,,public,Bourgogne-Franche-Comté,21,
76,Université de Montpellier Paul-Valéry,,public,Occitanie,34,
11,Université Paris-Saclay,,public,Île-de-France,91,https://fr.wikipedia.org/wiki/Universit%C3%A9_Paris-Saclay
11,"Institut Mines-Télécom, au périmètre des écoles IMT Atlantique, Lille Douai, Albi, Alès, Mines Saint-Étienne et Institut Mines-Télécom Business school",,public,Île-de-France,91,https://fr.wikipedia.org/wiki/Institut_Mines-T%C3%A9l%C3%A9com
11,ECAM-EPMI,ECAM-EPMI,privé,Île-de-France,95,https://fr.wikipedia.org/wiki/ECAM-EPMI
44,École nationale du génie de l'eau et de l'environnement de Strasbourg,,public,Grand Est,67,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_du_g%C3%A9nie_de_l%27eau_et_de_l%27environnement_de_Strasbourg
11,École nationale supérieure des métiers de l'image et du son,La Fémis,public,Île-de-France,75,https://fr.wikipedia.org/wiki/La_F%C3%A9mis
11,EPF - École d'ingénieurs,EPF,privé,Île-de-France,94,https://fr.wikipedia.org/wiki/EPF_(%C3%A9cole_d%27ing%C3%A9nieurs)
24,Institut national des sciences appliquées Centre Val de Loire,INSA Centre Val de Loire,public,Centre-Val de Loire,18,https://fr.wikipedia.org/wiki/Institut_national_des_sciences_appliqu%C3%A9es_Centre-Val_de_Loire
11,Institut national du patrimoine,,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_national_du_patrimoine_(France)
76,Institut supérieur de l'aéronautique et de l'espace,ISAE-SUPAERO,public,Occitanie,31,https://fr.wikipedia.org/wiki/Institut_sup%C3%A9rieur_de_l%27a%C3%A9ronautique_et_de_l%27espace
44,Université de Strasbourg,,public,Grand Est,67,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Strasbourg
32,Université Polytechnique Hauts-de-France,,public,Hauts-de-France,59,https://fr.wikipedia.org/wiki/Universit%C3%A9_polytechnique_Hauts-de-France
84,École catholique des arts et métiers,ECAM Lasalle,privé,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/ECAM_LaSalle
11,École de management Léonard De Vinci,EMLV,privé,Île-de-France,92,
27,Burgundy School of Business,,privé,Bourgogne-Franche-Comté,21,https://fr.wikipedia.org/wiki/Burgundy_School_of_Business
11,ESCP Business School,,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/ESCP_Business_School
76,Institut français d'archéologie orientale du Caire,IFAO,public,Étranger,11,https://fr.wikipedia.org/wiki/Institut_fran%C3%A7ais_d%27arch%C3%A9ologie_orientale
53,Université de Brest,,public,Bretagne,29,
75,Université de Pau et des Pays de l'Adour,,public,Nouvelle-Aquitaine,64,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Pau_et_des_pays_de_l%27Adour
32,Université de Technologie de Compiègne,,public,Hauts-de-France,60,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_technologie_de_Compi%C3%A8gne
44,Centre national des arts du cirque,CNAC,privé,Grand Est,51,https://fr.wikipedia.org/wiki/Centre_national_des_arts_du_cirque
75,Excelia Group,Excelia,privé,Nouvelle-Aquitaine,17,https://fr.wikipedia.org/wiki/Excelia
75,Institut d'ingénierie informatique de Limoges,3IL,privé,Nouvelle-Aquitaine,87,https://fr.wikipedia.org/wiki/Institut_d%27ing%C3%A9nierie_informatique_de_Limoges
28,Institut national des sciences appliquées de Rouen Normandie,INSA de Rouen Normandie,public,Normandie,76,https://fr.wikipedia.org/wiki/Institut_national_des_sciences_appliqu%C3%A9es_de_Rouen
27,Université Marie et Louis Pasteur,,public,Bourgogne-Franche-Comté,25,
52,Nantes Université,,public,Pays de la Loire,44,https://fr.wikipedia.org/wiki/Nantes_Universit%C3%A9
11,CY Cergy Paris Université,,public,Île-de-France,95,https://fr.wikipedia.org/wiki/CY_Cergy_Paris_Universit%C3%A9
84,École nationale des travaux publics de l'État,,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_des_travaux_publics_de_l%27%C3%89tat
11,Arts et Métiers Sciences et Technologies,Arts et Métiers,public,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27arts_et_m%C3%A9tiers
32,École supérieure d'art et de design d'Amiens,Ésad Amiens,public,Hauts-de-France,80,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27art_et_de_design_d%27Amiens
44,ICN Business School,,privé,Grand Est,54,https://fr.wikipedia.org/wiki/ICN_Business_School
76,Institut catholique de Toulouse,,privé,Occitanie,31,https://fr.wikipedia.org/wiki/Institut_catholique_de_Toulouse
32,Institut d'économie scientifique et de gestion,IÉSEG,privé,Hauts-de-France,59,https://fr.wikipedia.org/wiki/I%C3%89SEG_School_of_Management
52,Institut des relations publiques et de la communication d’Angers,Ircom,privé,Pays de la Loire,49,
27,École supérieure des technologies et des affaires de Belfort,ESTA Belfort,privé,Bourgogne-Franche-Comté,90,
11,Collège de France,,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Coll%C3%A8ge_de_France
11,Institut européen d'administration des affaires,,privé,Île-de-France,77,https://fr.wikipedia.org/wiki/Institut_europ%C3%A9en_d%27administration_des_affaires
11,Institut national supérieur de formation et de recherche pour l'éducation inclusive,INSEI,public,Île-de-France,92,https://fr.wikipedia.org/wiki/Institut_national_sup%C3%A9rieur_de_formation_et_de_recherche_pour_l%27%C3%A9ducation_inclusive
32,Institut polytechnique UniLaSalle,UniLaSalle,privé,Hauts-de-France,60,https://fr.wikipedia.org/wiki/Institut_polytechnique_UniLaSalle
11,Institut supérieur d'électronique de Paris,,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_sup%C3%A9rieur_d%27%C3%A9lectronique_de_Paris
84,Université Claude Bernard - Lyon 1,Lyon I,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/Universit%C3%A9_Claude-Bernard-Lyon-I
84,Université Clermont Auvergne,,public,Auvergne-Rhône-Alpes,63,https://fr.wikipedia.org/wiki/Universit%C3%A9_Clermont-Auvergne
11,Conservatoire national supérieur de musique et de danse de Paris,CNSMDP,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Conservatoire_national_sup%C3%A9rieur_de_musique_et_de_danse_de_Paris
11,École nationale supérieure Louis Lumière,ENS Louis Lumière,public,Île-de-France,93,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_Louis-Lumi%C3%A8re
76,École nationale vétérinaire de Toulouse,,public,Occitanie,31,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_v%C3%A9t%C3%A9rinaire_de_Toulouse
11,"École spéciale des travaux publics, du bâtiment et de l'industrie",ESTP,privé,Île-de-France,94,"https://fr.wikipedia.org/wiki/%C3%89cole_sp%C3%A9ciale_des_travaux_publics,_du_b%C3%A2timent_et_de_l%27industrie"
11,École supérieure d'informatique électronique automatique,,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27informatique_%C3%A9lectronique_automatique
11,Institut catholique de Paris,,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_catholique_de_Paris
84,Vet Agro Sup,Vet Agro Sup,public,Auvergne-Rhône-Alpes,69,"https://fr.wikipedia.org/wiki/Institut_national_d%27enseignement_sup%C3%A9rieur_et_de_recherche_en_alimentation,_sant%C3%A9_animale,_sciences_agronomiques_et_de_l%27environnement"
44,Institut régional du travail social de Champagne-Ardennes,IRTS Champagne-Ardenne,privé,Grand Est,51,
11,Sorbonne Université,Sorbonne U,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Sorbonne_Universit%C3%A9
75,Université de Limoges,,public,Nouvelle-Aquitaine,87,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Limoges
44,Université de technologie de Troyes,,public,Grand Est,10,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_technologie_de_Troyes
11,Université Sorbonne Nouvelle - Paris 3,Paris III,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Universit%C3%A9_Sorbonne-Nouvelle
11,École nationale supérieure d'arts de Paris-Cergy,ENSAPC,public,Île-de-France,95,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27arts_de_Paris-Cergy
84,École nationale supérieure des sciences de l'information et des bibliothèques,,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_des_sciences_de_l%27information_et_des_biblioth%C3%A8ques
11,École nationale vétérinaire d'Alfort,,public,Île-de-France,94,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_v%C3%A9t%C3%A9rinaire_d%27Alfort
52,École supérieure d’agriculture,ESA,privé,Pays de la Loire,49,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_des_agricultures
44,École supérieure d'art et de design de Reims,ESAD Reims,public,Grand Est,51,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27art_et_de_design_de_Reims
11,Institut national des sciences et techniques nucléaires,INSTN,public,Île-de-France,91,https://fr.wikipedia.org/wiki/Institut_national_des_sciences_et_techniques_nucl%C3%A9aires
53,Institut supérieur de l'électronique et du numérique de Brest,Yncréa Ouest,privé,Bretagne,29,
11,IPAG Business School,,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/IPAG_Business_School
11,Muséum national d'histoire naturelle,,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Mus%C3%A9um_national_d%27histoire_naturelle
93,Avignon Université,,public,Provence-Alpes-Côte d'Azur,84,https://fr.wikipedia.org/wiki/Avignon_Universit%C3%A9
84,École nationale supérieure des arts et techniques du théâtre,,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_des_arts_et_techniques_du_th%C3%A9%C3%A2tre
